DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,2022,24198046,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,2023,24519768,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,F,ES,2024,24792824,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1975,17419371,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1976,17612561,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1977,17807322,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1978,17993218,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1979,18167281,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1980,18323513,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1981,18467449,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1982,18591423,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1983,18695393,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1984,18775089,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1985,18849258,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1986,18906124,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1987,18954956,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1988,18995710,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1989,19023679,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1990,19039785,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,TOTAL,M,ES,1991,19042818,,
