DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y11,M,FR,2024,432894,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,F,FR,2020,413255,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,F,FR,2021,416359,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,F,FR,2022,417455,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,F,FR,2023,425269,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,F,FR,2024,416288,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,M,FR,2020,431152,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,M,FR,2021,438988,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,M,FR,2022,436941,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,M,FR,2023,444562,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y12,M,FR,2024,435002,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,F,FR,2020,416635,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,F,FR,2021,414915,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,F,FR,2022,418581,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,F,FR,2023,418870,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,F,FR,2024,427121,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,M,FR,2020,437450,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,M,FR,2021,433509,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,M,FR,2022,441453,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,M,FR,2023,439434,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y13,M,FR,2024,447445,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,F,FR,2020,409209,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,F,FR,2021,419144,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,F,FR,2022,416003,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,F,FR,2023,420833,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,F,FR,2024,421276,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,M,FR,2020,429084,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,M,FR,2021,441875,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,M,FR,2022,437447,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,M,FR,2023,445210,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y14,M,FR,2024,443357,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,F,FR,2020,406904,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,F,FR,2021,412722,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,F,FR,2022,421681,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,F,FR,2023,418740,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,F,FR,2024,423794,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,M,FR,2020,429204,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,M,FR,2021,435401,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,M,FR,2022,446887,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,M,FR,2023,442711,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y15,M,FR,2024,450825,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,F,FR,2020,404512,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,F,FR,2021,407196,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,F,FR,2022,412026,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,F,FR,2023,421881,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,F,FR,2024,418732,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,M,FR,2020,425764,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,M,FR,2021,431715,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,M,FR,2022,436316,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,M,FR,2023,449002,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y16,M,FR,2024,444632,p,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,F,FR,2020,406636,,
ESTAT:DEMO_PJAN(1.0),04/12/25 23:00:00,A,NR,Y17,F,FR,2021,401213,,
